injector_code,manufacturer_name,volt_ampere_profile,is_custom
33800-84000,Hyundai,VA_33800-84000,FALSE
33800-84000_hanil,Hyundai,VA_33800-84000_hanil,FALSE
33800-84001_hanil,Hyundai,VA_33800-84001_hanil,FALSE
33800-84300,DelphiF2E,VA_33800-84300,FALSE
33800-84400_hanil,Hyundai,VA_33800-84400(1),FALSE
33800-84410,Hyundai,VA_33800-84410,FALSE
33800-84410_hanil,Hyundai,VA_33800-84410_hanil,FALSE
33800-84700_hanil,Hyundai,VA_33088-84700(1),FALSE
33800-84710_hanil,Hyundai,VA_33800-84710,FALSE
33800-84820,Hyundai,VA_33800-84820,FALSE
33800-84820_hanil,Hyundai,VA_33800-84820_hanil(1),FALSE
33800-84830,Hyundai,VA_33800-84830,FALSE
33800-84840,Hyundai,VA_33800-84840,FALSE
3411753,Cummins,VA_3411753,FALSE
3411756,Cummins,VA_3411756,FALSE
3964820,Volvo,VA_3964820,FALSE
3964829,Volvo,VA_3964829,FALSE
3M219 A543 AA,Ford,VA_3M219 A543 AA,FALSE
4061851,Cummins,VA_4061851,FALSE
4061851_hanil,Hyundai,VA_4061851_hanil,FALSE
4076532,Cummins,VA_Cummins HPI 2,FALSE
0414720085,Bosch,VA_0414720085,FALSE
0414720089,Bosch,VA_0414720089,FALSE
0414720279,Bosch,VA_0414720279,FALSE
4902827,Scania,VA_Scania HPI(1),FALSE
4928171_hanil,Hyundai,VA_4928171_hanil,FALSE
500304921,Iveco,VA_500304921,FALSE
500339059,Iveco,VA_500339059,FALSE
5237466,Detroit,VA_5237466,FALSE
8112556,Volvo,VA_8112556,FALSE
8113177,Volvo,VA_8113177,FALSE
8113286,Volvo,VA_8113286,FALSE
8113408,Volvo,VA_8113408,FALSE
8113409,Volvo,VA_8113409,FALSE
8113845,Volvo,VA_8113845,FALSE
8113895,Volvo,VA_8113895,FALSE
8170569,Volvo,VA_8170569,FALSE
85000071,Volvo,VA_85000071,FALSE
85003265,Volvo,VA_85003265,FALSE
8500416,Volvo,VA_8500416,FALSE
