id,injector_code,test_name,motor_speed,setted_pressure,adjusting_time,measurement_time,injection_rate,total_pulse_time,nominal_flow,flow_range,volt_ampere_profile,total_pulse_time2,shift
6156,0445120062,6,1000,1200,20,40,60,2600,187.2,4.59,,,
6157,0445120062,7,1000,700,20,40,60,700,27.4,25.91,,,
6158,0445120062,11,1000,1000,40,60,60,250,3.4,88.24,,,
6159,0445120062,13,1000,400,20,40,60,500,4.1,92.68,,,
6160,0445120062,31,1000,1200,20,40,,0,35,100,,,
6161,0445120063,2,1000,1400,20,40,,0,35,100,,,
6162,0445120063,3,1000,350,20,40,60,2000,,,,,
6163,0445120063,4,1000,1400,20,40,60,2900,42.5,88.24,,,
6164,0445120063,6,1000,1400,20,40,60,2900,239.3,4.51,,,
6165,0445120063,7,1000,800,20,40,60,800,46.6,17.81,,,
6166,0445120063,11,1000,1000,40,60,60,250,3.2,84.38,,,
6167,0445120063,13,1000,400,20,40,60,600,7.4,75.68,,,
6168,0445120064,2,1000,1600,20,40,,0,30,100,,,
6169,0445120064,3,1000,350,20,40,60,2000,,,,,
6170,0445120064,4,1000,1600,20,40,60,1600,37.5,86.67,,,
6171,0445120064,6,1000,1600,20,40,60,1600,144,5.69,,,
6172,0445120064,7,1000,1200,20,40,60,2000,150.2,5.06,,,
6173,0445120064,11,1000,400,40,60,60,400,3.3,84.85,,,
6174,0445120064,13,1000,700,20,40,60,400,7.5,65.33,,,
6175,0445120065,2,1000,1600,20,40,,0,32.5,100,,,
6176,0445120065,3,1000,350,20,40,60,2000,,,,,
6177,0445120065,4,1000,1300,20,40,60,1300,35,85.71,,,
6178,0445120065,6,1000,1300,20,40,60,1300,124,5.48,,,
6179,0445120065,11,1000,1000,40,60,60,250,2.3,78.26,,,
6180,0445120065,13,1000,700,20,40,60,400,7.6,60.53,,,
6181,0445120065,32,1000,800,20,40,60,2500,169.3,4.49,,,
6182,0445120066,2,1000,1600,20,40,,0,25,100,,,
6183,0445120066,3,1000,350,20,40,60,2000,,,,,
6184,0445120066,4,1000,1300,20,40,60,1300,27.5,81.82,,,
6185,0445120066,6,1000,1300,20,40,60,1300,136.1,5.36,,,
6186,0445120066,11,1000,1000,40,60,60,250,2.7,88.89,,,
6187,0445120066,13,1000,700,20,40,60,400,5.7,64.91,,,
6188,0445120066,32,1000,800,20,40,60,2500,187.8,4.53,,,
6189,0445120067,2,1000,1600,20,40,,0,32.5,100,,,
6190,0445120067,3,1000,350,20,40,60,2000,,,,,
6191,0445120067,4,1000,1300,20,40,60,1300,35,85.71,,,
6192,0445120067,6,1000,1300,20,40,60,1300,116.9,5.65,,,
6193,0445120067,7,1000,800,20,40,60,2500,162.2,4.62,,,
6194,0445120067,11,1000,1000,40,60,60,250,2.5,88,,,
6195,0445120067,13,1000,700,20,40,60,400,5.9,64.41,,,
6196,0445120068,2,1000,1400,20,40,,0,35,100,,,
6197,0445120068,3,1000,350,20,40,60,2000,,,,,
6198,0445120068,4,1000,1400,20,40,60,2400,45,77.78,,,
6199,0445120068,6,1000,1400,20,40,60,2400,328.4,4.57,,,
6200,0445120068,7,1000,1000,20,40,60,900,90.9,12.1,,,
6201,0445120068,11,1000,1000,40,60,60,250,3.2,84.38,,,
6202,0445120068,13,1000,250,20,40,60,800,7.1,70.42,,,
6203,0445120069,2,1000,500,20,40,,0,33,100,,,
6204,0445120069,3,1000,350,20,40,60,2000,,,,,
6205,0445120069,4,1000,1400,20,40,60,1700,35.5,85.92,,,
6206,0445120069,6,1000,1400,20,40,60,1700,168.5,3.92,,,
6207,0445120069,7,1000,600,20,40,60,700,32.9,17.63,,,
6208,0445120069,11,1000,1000,40,60,60,280,6.1,83.61,,,
6209,0445120069,13,1000,250,20,40,60,800,8.6,60.47,,,
6210,0445120069,31,1000,1400,20,40,,0,33,100,,,
6211,0445120070,2,1000,1600,20,40,,0,37.5,100,,,
6212,0445120070,3,1000,350,20,40,60,2000,,,,,
6213,0445120070,4,1000,1600,20,40,60,2000,45,88.89,,,
6214,0445120070,6,1000,1600,20,40,60,2000,230.8,4.59,,,
6215,0445120070,7,1000,600,20,40,60,700,30.5,22.3,,,
6216,0445120070,11,1000,1000,40,60,60,280,6.2,82.26,,,
6217,0445120070,13,1000,250,20,40,60,1000,14.8,35.14,,,
6218,0445120071,2,1000,500,20,40,,0,24.5,100,,,
6219,0445120071,3,1000,350,20,40,60,2000,,,,,
6220,0445120071,4,1000,1800,20,40,60,1700,32,84.38,,,
6221,0445120071,11,1000,1400,40,60,60,240,2.3,73.91,,,
6222,0445120071,15,1000,1800,20,40,60,1700,149.2,8.31,,,
6223,0445120071,16,1000,250,20,40,60,800,10.8,88.89,,,
6224,0445120071,17,1000,600,20,40,60,700,28.6,39.16,,,
6225,0445120071,31,1000,1800,20,40,,0,24.5,100,,,
6226,0445120072,2,1000,1800,20,40,,0,26,100,,,
6227,0445120072,3,1000,350,20,40,60,2000,,,,,
6228,0445120072,4,1000,1800,20,40,60,1400,28.5,82.46,,,
6229,0445120072,6,1000,1800,20,40,60,1400,147.1,3.54,,,
6230,0445120072,7,1000,1200,20,40,60,600,43.8,18.04,,,
6231,0445120072,11,1000,1600,40,60,60,190,1.9,78.95,,,
6232,0445120072,13,1000,250,20,40,60,1000,15.4,25.32,,,
6233,0445120073,2,1000,1800,20,40,,0,24,100,,,
6234,0445120073,3,1000,350,20,40,60,2000,,,,,
6235,0445120073,4,1000,1800,20,40,60,1070,26.5,81.13,,,
6236,0445120073,6,1000,1800,20,40,60,1070,78.1,8.58,,,
6237,0445120073,7,1000,1200,20,40,60,550,34.6,14.16,,,
6238,0445120073,11,1000,1600,40,60,60,190,1.8,83.33,,,
6239,0445120073,13,1000,250,20,40,60,850,9.5,49.47,,,
6240,0445120074,2,1000,1600,20,40,,0,35,100,,,
6241,0445120074,3,1000,350,20,40,60,2000,,,,,
6242,0445120074,4,1000,1600,20,40,60,1600,42.5,88.24,,,
6243,0445120074,6,1000,1600,20,40,60,1600,188.7,5.41,,,
6244,0445120074,7,1000,700,20,40,60,400,6.4,79.69,,,
6245,0445120074,13,1000,400,20,40,60,400,3.2,87.5,,,
6246,0445120074,32,1000,1200,20,40,60,2000,196.2,5.3,,,
6247,0445120075,2,1000,500,20,40,,0,25,100,,,
6248,0445120075,3,1000,350,20,40,60,2000,,,,,
6249,0445120075,4,1000,1100,20,40,60,2100,32.5,84.62,,,
6250,0445120075,6,1000,1100,20,40,60,2100,145.4,5.64,,,
6251,0445120075,7,1000,600,20,40,60,700,27.5,23.27,,,
6252,0445120075,11,1000,1100,40,60,60,250,2.6,88.46,,,
6253,0445120075,13,1000,250,20,40,60,700,5.1,76.47,,,
6254,0445120075,31,1000,1100,20,40,,0,25,100,,,
6255,0445120076,2,1000,1800,20,40,,0,24.5,100,,,
6256,0445120076,3,1000,350,20,40,60,2000,,,,,
6257,0445120076,4,1000,1800,20,40,60,1250,34.5,71.01,,,
6258,0445120076,6,1000,1800,20,40,60,1250,117.3,6.31,,,
6259,0445120076,7,1000,1200,20,40,60,630,45.1,16.41,,,
6260,0445120076,11,1000,1800,40,60,60,190,1.9,84.21,,,
6261,0445120076,13,1000,250,20,40,60,780,7.6,69.74,,,
6262,0445120077,2,1000,1400,20,40,,0,30,100,,,
6263,0445120077,3,1000,350,20,40,60,2450,,,,,
6264,0445120077,4,1000,1400,20,40,60,1780,37.5,86.67,,,
6265,0445120077,6,1000,1400,20,40,60,1780,137.3,4.81,,,
6266,0445120077,7,1000,700,20,40,60,950,53.5,10.84,,,
6267,0445120077,11,1000,1000,40,60,60,240,4,92.5,,,
6268,0445120077,13,1000,250,20,40,60,900,10.2,50.98,,,
6269,0445120078,2,1000,1600,20,40,,0,35,100,,,
6270,0445120078,3,1000,350,20,40,60,2000,,,,,
6271,0445120078,4,1000,1600,20,40,60,2000,37.5,86.67,,,
6272,0445120078,6,1000,1600,20,40,60,2000,204.2,4.85,,,
6273,0445120078,7,1000,1000,20,40,60,600,34.9,21.49,,,
6274,0445120078,11,1000,1000,40,60,60,250,3.1,90.32,,,
6275,0445120078,13,1000,250,20,40,60,1000,12.4,33.06,,,
6276,0445120079,2,1000,500,20,40,,0,30,100,,,
6277,0445120079,3,1000,350,20,40,60,2450,,,,,
6278,0445120079,4,1000,1350,20,40,60,1800,37.5,86.67,,,
6279,0445120079,6,1000,1350,20,40,60,1800,139.8,5.29,,,
6280,0445120079,7,1000,600,20,40,60,500,20.9,34.93,,,
6281,0445120079,11,1000,800,40,90,60,160,3,86.67,,,
6282,0445120079,13,1000,250,20,40,60,700,8,61.25,,,
6283,0445120079,31,1000,1350,20,40,,0,30,100,,,
6284,0445120080,2,1000,1400,20,40,,0,30,100,,,
6285,0445120080,3,1000,350,20,40,60,2000,,,,,
6286,0445120080,4,1000,1400,20,40,60,2000,37.5,86.67,,,
6287,0445120080,6,1000,1400,20,40,60,2000,122.6,4.57,,,
6288,0445120080,7,1000,1000,20,40,60,750,42.8,16.36,,,
6289,0445120080,11,1000,1000,40,60,60,250,3.6,91.67,,,
6290,0445120080,13,1000,250,20,40,60,1000,13.7,37.96,,,
6291,0445120081,2,1000,1600,20,40,,0,35,100,,,
6292,0445120081,3,1000,350,20,40,60,2000,,,,,
6293,0445120081,4,1000,1600,20,40,60,2000,42.5,88.24,,,
6294,0445120081,6,1000,1600,20,40,60,2000,167.2,4.67,,,
6295,0445120081,7,1000,1000,20,40,60,600,31,13.87,,,
6296,0445120081,11,1000,1000,40,60,60,250,3.2,90.63,,,
6297,0445120081,13,1000,250,20,40,60,1000,11.1,46.85,,,
6298,0445120082,2,1000,500,20,40,,0,21.5,100,,,
6299,0445120082,3,1000,350,20,40,60,2000,,,,,
6300,0445120082,4,1000,1800,20,40,60,1350,29,82.76,,,
6301,0445120082,12,1000,300,40,60,60,400,2.1,85.71,,,
6302,0445120082,14,1000,1800,20,40,60,240,3.6,91.67,,,
6303,0445120082,15,1000,1800,20,40,60,1350,90.7,9.7,,,
6304,0445120082,16,1000,300,40,60,60,400,2.1,85.71,,,
6305,0445120082,17,1000,1400,20,40,60,600,40.1,22.44,,,
6306,0445120082,31,1000,1800,20,40,,0,21.5,100,,,
6307,0445120083,2,1000,1600,20,40,,0,35,100,,,
6308,0445120083,3,1000,350,20,40,60,2000,,,,,
6309,0445120083,4,1000,1400,20,40,60,3000,42.5,88.24,,,
6310,0445120083,6,1000,1400,20,40,60,3000,285.8,4.51,,,
6311,0445120083,7,1000,1000,20,40,60,600,34.1,21.7,,,
6312,0445120083,11,1000,1000,40,60,60,250,3.5,91.43,,,
6313,0445120083,13,1000,250,20,40,60,1000,12.3,54.47,,,
6314,0445120084,2,1000,1400,20,40,,0,40,100,,,
6315,0445120084,3,1000,350,20,40,60,2000,,,,,
6316,0445120084,4,1000,1400,20,40,60,2450,42.5,88.24,,,
6317,0445120084,6,1000,1400,20,40,60,2450,261.4,3.83,,,
6318,0445120084,10,1000,730,20,40,60,830,60.8,13.65,,,
6319,0445120084,11,1000,1000,40,60,60,180,2.8,89.29,,,
6320,0445120084,13,1000,300,20,40,60,750,13.3,33.08,,,
6321,0445120085,2,1000,1400,20,40,,0,35,100,,,
6322,0445120085,3,1000,350,20,40,60,2450,,,,,
6323,0445120085,4,1000,1400,20,40,60,2450,42.5,88.24,,,
6324,0445120085,6,1000,1400,20,40,60,2450,247.4,3.84,,,
6325,0445120085,7,1000,730,20,40,60,830,59,13.73,,,
6326,0445120085,11,1000,1000,40,60,60,180,2.5,88,,,
6327,0445120085,13,1000,300,20,40,60,750,13.3,33.08,,,
6328,0445120086,2,1000,1600,20,40,,0,35,100,,,
6329,0445120086,3,1000,350,20,40,60,2000,,,,,
6330,0445120086,4,1000,1600,20,40,60,2000,42.5,88.24,,,
6331,0445120086,6,1000,1600,20,40,60,2000,235,5.11,,,
6332,0445120086,7,1000,1000,20,40,60,600,31.8,25.16,,,
6333,0445120086,11,1000,1000,40,60,60,250,2.7,88.89,,,
6334,0445120086,13,1000,250,20,40,60,1000,12,41.67,,,
6335,0445120087,2,1000,1600,20,40,,0,35,100,,,
6336,0445120087,3,1000,350,20,40,60,2000,,,,,
6337,0445120087,4,1000,1600,20,40,60,2000,42.5,88.24,,,
6338,0445120087,6,1000,1600,20,40,60,2000,193.9,6.29,,,
6339,0445120087,7,1000,1000,20,40,60,600,34.2,23.68,,,
6340,0445120087,11,1000,1000,40,60,60,250,3.3,87.88,,,
6341,0445120087,13,1000,250,20,40,60,1000,13.7,43.8,,,
6342,0445120089,2,1000,1400,20,40,,0,30,100,,,
6343,0445120089,3,1000,350,20,40,60,2450,,,,,
6344,0445120089,4,1000,1400,20,40,60,1780,37.5,86.67,,,
6345,0445120089,6,1000,1400,20,40,60,1780,137.3,4.81,,,
6346,0445120089,7,1000,700,20,40,60,950,53.5,10.84,,,
6347,0445120089,11,1000,1000,40,60,60,240,4,92.5,,,
6348,0445120089,13,1000,250,20,40,60,900,10.2,50.98,,,
6349,0445120090,2,1000,1600,20,40,,0,27.5,100,,,
6350,0445120090,3,1000,350,20,40,60,2000,,,,,
6351,0445120090,4,1000,1600,20,40,60,1390,35,85.71,,,
6352,0445120090,6,1000,1600,20,40,60,1390,120.8,6.37,,,
6353,0445120090,7,1000,1000,20,40,60,700,48.3,11.8,,,
6354,0445120090,11,1000,1000,40,60,60,175,1.7,82.35,,,
6355,0445120090,13,1000,250,20,40,60,970,13.7,31.39,,,
6356,0445120091,2,1000,1600,20,40,,0,27.5,100,,,
6357,0445120091,3,1000,350,20,40,60,2000,,,,,
6358,0445120091,4,1000,1600,20,40,60,1100,35,85.71,,,
6359,0445120091,6,1000,1600,20,40,60,1100,76.1,6.18,,,
6360,0445120091,7,1000,1000,20,40,60,630,35.2,11.08,,,
6361,0445120091,11,1000,1000,40,60,60,175,2.1,76.19,,,
6362,0445120091,13,1000,250,20,40,60,830,9.7,31.96,,,
6363,0445120092,2,1000,500,20,40,,0,22.5,100,,,
6364,0445120092,3,1000,350,20,40,60,2000,,,,,
6365,0445120092,4,1000,1400,20,40,60,1800,36,86.11,,,
6366,0445120092,6,1000,1400,20,40,60,1800,188.5,4.88,,,
6367,0445120092,7,1000,1000,20,40,60,600,27.8,28.06,,,
6368,0445120092,11,1000,1000,40,60,60,250,2.8,89.29,,,
6369,0445120092,13,1000,250,20,40,60,1000,14.2,48.59,,,
6370,0445120092,31,1000,1800,20,40,,0,22.5,100,,,
6371,0445120093,2,1000,1600,20,40,,0,26.5,100,,,
6372,0445120093,3,1000,350,20,40,60,2000,,,,,
6373,0445120093,4,1000,1600,20,40,60,1150,36.5,72.6,,,
6374,0445120093,6,1000,1600,20,40,60,1150,76.8,7.03,,,
6375,0445120093,7,1000,1000,20,40,60,630,32.7,17.13,,,
6376,0445120093,11,1000,1000,40,60,60,175,1.9,84.21,,,
6377,0445120093,13,1000,250,20,40,60,830,9.1,39.56,,,
6378,0445120094,2,1000,500,20,40,,0,41,100,,,
6379,0445120094,3,1000,350,20,40,60,2000,,,,,
6380,0445120094,4,1000,1600,20,40,60,3000,48.5,89.69,,,
6381,0445120094,6,1000,1600,20,40,60,3000,220.4,4.49,,,
6382,0445120094,7,1000,600,20,40,60,700,31.4,21.66,,,
6383,0445120094,11,1000,1000,40,60,60,160,3.2,87.5,,,
6384,0445120094,13,1000,250,20,40,60,1000,17.9,29.05,,,
6385,0445120094,31,1000,1600,20,40,,0,41,100,,,
6386,0445120095,2,1000,1600,20,40,,0,32.5,100,,,
6387,0445120095,3,1000,350,20,40,60,2000,,,,,
6388,0445120095,4,1000,1600,20,40,60,2200,40,87.5,,,
6389,0445120095,6,1000,1600,20,40,60,2200,215.3,9.52,,,
6390,0445120095,7,1000,900,20,40,60,560,18.4,51.63,,,
6391,0445120095,11,1000,1200,40,60,60,230,2.1,85.71,,,
6392,0445120095,13,1000,250,20,40,60,900,7.6,88.16,,,
6393,0445120096,2,1000,1600,20,40,,0,28.5,100,,,
6394,0445120096,3,1000,350,20,40,60,2000,,,,,
6395,0445120096,4,1000,1600,20,40,60,1000,36,86.11,,,
6396,0445120096,6,1000,1600,20,40,60,1000,131.2,5.34,,,
6397,0445120096,7,1000,1200,20,40,60,700,62,10.48,,,
6398,0445120096,11,1000,1000,40,60,60,200,2.4,87.5,,,
6399,0445120096,13,1000,400,20,40,60,500,5.3,60.38,,,
6400,0445120097,2,1000,1600,20,40,,0,41,100,,,
6401,0445120097,3,1000,350,20,40,60,2450,,,,,
6402,0445120097,4,1000,1600,20,40,60,3000,48.5,89.69,,,
6403,0445120097,6,1000,1600,20,40,60,3000,277.3,4.4,,,
6404,0445120097,7,1000,600,20,40,60,700,34.1,19.94,,,
6405,0445120097,11,1000,1000,40,60,60,240,4,77.5,,,
6406,0445120097,13,1000,250,20,40,60,1000,18,28.89,,,
6407,0445120098,2,1000,1600,20,40,,0,37.5,100,,,
6408,0445120098,3,1000,350,20,40,60,2000,,,,,
6409,0445120098,4,1000,1600,20,40,60,2200,45,88.89,,,
6410,0445120098,6,1000,1600,20,40,60,2200,206.5,4.5,,,
6411,0445120098,7,1000,1000,20,40,60,600,48.4,14.05,,,
6412,0445120098,11,1000,1000,40,60,60,250,3.7,91.89,,,
6413,0445120098,13,1000,300,20,40,60,700,13.5,34.07,,,
6414,0445120099,2,1000,1600,20,40,,0,37.5,100,,,
6415,0445120099,3,1000,350,20,40,60,2000,,,,,
6416,0445120099,4,1000,1600,20,40,60,2200,45,88.89,,,
6417,0445120099,6,1000,1600,20,40,60,2200,171.5,4.9,,,
6418,0445120099,7,1000,1000,20,40,60,600,42.7,15.93,,,
6419,0445120099,11,1000,1000,40,60,60,250,3.2,90.63,,,
6420,0445120099,13,1000,300,20,40,60,700,13,35.38,,,
6421,0445120100,2,1000,1600,20,40,,0,37.5,100,,,
6422,0445120100,3,1000,350,20,40,60,2000,,,,,
6423,0445120100,4,1000,1600,20,40,60,2200,45,88.89,,,
6424,0445120100,6,1000,1600,20,40,60,2200,360.6,3.19,,,
6425,0445120100,7,1000,1000,20,40,60,900,85.1,13.75,,,
6426,0445120100,11,1000,1000,40,60,60,250,2.5,88,,,
6427,0445120100,13,1000,250,20,40,60,800,6.2,59.68,,,
6428,0445120101,2,1000,1600,20,40,,0,32.5,100,,,
6429,0445120101,3,1000,350,20,40,60,2000,,,,,
6430,0445120101,4,1000,1600,20,40,60,2000,40,87.5,,,
6431,0445120101,6,1000,1600,20,40,60,2000,123.3,4.95,,,
6432,0445120101,7,1000,1000,20,40,60,600,29.6,22.64,,,
6433,0445120101,11,1000,1000,40,60,60,250,2.6,88.46,,,
6434,0445120101,13,1000,250,20,40,60,1000,12.5,36,,,
6435,0445120102,2,1000,1600,20,40,,0,35,100,,,
6436,0445120102,3,1000,350,20,40,60,2000,,,,,
6437,0445120102,4,1000,1600,20,40,60,2000,42.5,88.24,,,
6438,0445120102,6,1000,1600,20,40,60,2000,139.1,6.18,,,
6439,0445120102,7,1000,1000,20,40,60,600,33.6,23.51,,,
6440,0445120102,11,1000,1000,40,60,60,250,3.1,90.32,,,
6441,0445120102,13,1000,250,20,40,60,1000,14.8,41.22,,,
6442,0445120103,2,1000,500,20,40,,0,33,100,,,
6443,0445120103,3,1000,350,20,40,60,2000,,,,,
6444,0445120103,4,1000,1600,20,40,60,1700,40.5,87.65,,,
6445,0445120103,6,1000,1600,20,40,60,1700,126.2,4.36,,,
6446,0445120103,7,1000,600,20,40,60,700,33.4,17.37,,,
6447,0445120103,8,1000,1200,20,40,60,200,4.7,59.57,,,
6448,0445120103,11,1000,1000,40,60,60,160,3.1,80.65,,,
6449,0445120103,12,1000,1200,40,60,60,200,4.7,59.57,,,
6450,0445120103,13,1000,250,20,40,60,800,10.5,49.52,,,
6451,0445120103,31,1000,1600,20,40,,0,33,100,,,
6452,0445120105,2,1000,1600,20,40,,0,37.5,100,,,
6453,0445120105,3,1000,350,20,40,60,2000,,,,,
6454,0445120105,4,1000,1600,20,40,60,2200,40,87.5,,,
6455,0445120105,6,1000,1600,20,40,60,2200,312.2,3.4,,,
6456,0445120105,7,1000,1000,20,40,60,900,87,13.45,,,
6457,0445120105,11,1000,1000,40,60,60,250,2.6,80.77,,,
6458,0445120105,13,1000,300,20,40,60,700,6.8,54.41,,,
6459,0445120106,2,1000,1600,20,40,,0,35,100,,,
6460,0445120106,3,1000,350,20,40,60,2000,,,,,
6461,0445120106,4,1000,1600,20,40,60,2000,42.5,88.24,,,
6462,0445120106,6,1000,1600,20,40,60,2000,218.1,6.1,,,
6463,0445120106,7,1000,1000,20,40,60,750,61.6,19.81,,,
6464,0445120106,11,1000,1000,40,60,60,250,3.1,90.32,,,
6465,0445120106,13,1000,250,20,40,60,800,8.2,68.29,,,
6466,0445120107,2,1000,1600,20,40,,0,35,100,,,
6467,0445120107,3,1000,350,20,40,60,2000,,,,,
6468,0445120107,4,1000,1600,20,40,60,2000,42.5,88.24,,,
6469,0445120107,6,1000,1600,20,40,60,2000,166,6.27,,,
6470,0445120107,7,1000,1000,20,40,60,600,30.5,26.56,,,
6471,0445120107,11,1000,1000,40,60,60,250,3.4,91.18,,,
6472,0445120107,13,1000,250,20,40,60,1000,11.2,52.68,,,
6473,0445120108,2,1000,1600,20,40,,0,28.5,100,,,
6474,0445120108,3,1000,350,20,40,60,2000,,,,,
6475,0445120108,4,1000,1600,20,40,60,1000,36,86.11,,,
6476,0445120108,6,1000,1600,20,40,60,1000,131.2,5.34,,,
6477,0445120108,7,1000,1200,20,40,60,700,62,10.48,,,
6478,0445120108,11,1000,1000,40,60,60,200,2.4,87.5,,,
6479,0445120108,13,1000,400,20,40,60,500,5.3,60.38,,,
6480,0445120109,2,1000,1600,20,40,,0,37.5,100,,,
6481,0445120109,3,1000,350,20,40,60,2000,,,,,
6482,0445120109,4,1000,1600,20,40,60,3000,45,88.89,,,
6483,0445120109,6,1000,1600,20,40,60,3000,309.3,3.49,,,
6484,0445120109,10,1000,600,20,40,60,700,19.7,24.37,,,
6485,0445120109,11,1000,1000,40,60,60,250,1.5,80,,,
6486,0445120109,13,1000,250,20,40,60,900,7.4,51.35,,,
6487,0445120110,2,1000,1600,20,40,,0,35,100,,,
6488,0445120110,3,1000,350,20,40,60,2000,,,,,
6489,0445120110,4,1000,1400,20,40,60,3000,37.5,86.67,,,
6490,0445120110,6,1000,1400,20,40,60,3000,224.3,4.99,,,
6491,0445120110,7,1000,1000,20,40,60,600,32.7,19.57,,,
6492,0445120110,11,1000,1000,40,60,60,250,3.3,87.88,,,
6493,0445120110,13,1000,250,20,40,60,1000,12.7,49.61,,,
6494,0445120112,2,1000,500,20,40,,0,41,100,,,
6495,0445120112,3,1000,350,20,40,60,2000,,,,,
6496,0445120112,4,1000,1600,20,40,60,3000,48.5,89.69,,,
6497,0445120112,6,1000,1600,20,40,60,3000,220.4,4.49,,,
6498,0445120112,7,1000,600,20,40,60,700,31.4,21.66,,,
6499,0445120112,11,1000,1000,40,60,60,160,3.2,87.5,,,
6500,0445120112,13,1000,250,20,40,60,1000,17.9,29.05,,,
6501,0445120112,31,1000,1600,20,40,,0,41,100,,,
6502,0445120113,2,1000,500,20,40,,0,33,100,,,
6503,0445120113,3,1000,350,20,40,60,2000,,,,,
6504,0445120113,4,1000,1600,20,40,60,1700,40.5,87.65,,,
6505,0445120113,6,1000,1600,20,40,60,1700,124.3,4.42,,,
6506,0445120113,10,1000,600,20,40,60,700,32.5,17.85,,,
6507,0445120113,11,1000,1000,40,60,60,160,2.9,82.76,,,
6508,0445120113,13,1000,250,20,40,60,800,11.4,45.61,,,
6509,0445120113,31,1000,1600,20,40,,0,33,100,,,
6510,0445120114,2,1000,500,20,40,,0,33,100,,,
6511,0445120114,3,1000,350,20,40,60,2000,,,,,
6512,0445120114,4,1000,1600,20,40,60,1700,40.5,87.65,,,
6513,0445120114,6,1000,1600,20,40,60,1700,126.2,4.36,,,
6514,0445120114,7,1000,600,20,40,60,700,33.4,17.37,,,
6515,0445120114,8,1000,1200,20,40,60,200,4.7,59.57,,,
6516,0445120114,11,1000,1000,40,60,60,160,3.1,80.65,,,
6517,0445120114,12,1000,1200,40,60,60,200,4.7,59.57,,,
6518,0445120114,13,1000,250,20,40,60,800,10.5,49.52,,,
6519,0445120114,31,1000,1600,20,40,,0,33,100,,,
6520,0445120115,2,1000,1600,20,40,,0,33,100,,,
6521,0445120115,3,1000,350,20,40,60,2000,,,,,
6522,0445120115,4,1000,1600,20,40,60,2000,40.5,87.65,,,
6523,0445120115,6,1000,1600,20,40,60,2000,189.5,4.54,,,
6524,0445120115,10,1000,600,20,40,60,700,33.9,20.06,,,
6525,0445120115,11,1000,1000,40,90,60,160,3,90,,,
6526,0445120115,13,1000,250,20,40,60,1000,17.2,30.23,,,
6527,0445120116,2,1000,1800,20,40,,0,25,100,,,
6528,0445120116,3,1000,350,20,40,60,2000,,,,,
6529,0445120116,4,1000,1800,20,40,60,2000,32.5,84.62,,,
6530,0445120116,6,1000,1800,20,40,60,2000,220.6,4.62,,,
6531,0445120116,7,1000,1000,20,40,60,600,30.9,21.36,,,
6532,0445120116,11,1000,1800,40,90,60,270,3,90,,,
6533,0445120116,13,1000,250,20,40,60,1000,16.4,27.44,,,
6534,0445120117,2,1000,1600,20,40,,0,35,100,,,
6535,0445120117,3,1000,350,20,40,60,2000,,,,,
6536,0445120117,4,1000,1600,20,40,60,2000,42.5,88.24,,,
6537,0445120117,6,1000,1600,20,40,60,2000,289.8,5.97,,,
6538,0445120117,7,1000,1000,20,40,60,600,30.3,29.04,,,
6539,0445120117,11,1000,1000,40,60,60,250,2.9,89.66,,,
6540,0445120117,13,1000,250,20,40,60,1000,12.1,49.59,,,
6541,0445120118,2,1000,1800,20,40,,0,37.5,100,,,
6542,0445120118,3,1000,350,20,40,60,2000,,,,,
6543,0445120118,4,1000,1800,20,40,60,1800,45,88.89,,,
6544,0445120118,6,1000,1800,20,40,60,1800,268.1,5.11,,,
6545,0445120118,7,1000,1400,20,40,60,900,106.8,13.95,,,
6546,0445120118,11,1000,1800,40,90,60,270,3,86.67,,,
6547,0445120118,13,1000,250,20,40,60,800,8.8,42.05,,,
6548,0445120120,2,1000,500,20,40,,0,41,100,,,
6549,0445120120,3,1000,350,20,40,60,2000,,,,,
6550,0445120120,4,1000,1600,20,40,60,3000,48.5,89.69,,,
6551,0445120120,6,1000,1600,20,40,60,3000,220.4,4.49,,,
6552,0445120120,7,1000,600,20,40,60,700,31.4,21.66,,,
6553,0445120120,11,1000,1000,40,60,60,160,3.2,87.5,,,
6554,0445120120,13,1000,250,20,40,60,1000,17.9,29.05,,,
6555,0445120120,31,1000,1600,20,40,,0,41,100,,,
6556,0445120121,2,1000,1600,20,40,,0,37.5,100,,,
6557,0445120121,3,1000,350,20,40,60,2450,,,,,
6558,0445120121,4,1000,1600,20,40,60,2000,45,88.89,,,
6559,0445120121,6,1000,1600,20,40,60,2000,232.6,4.56,,,
6560,0445120121,7,1000,600,20,40,60,700,30.7,22.15,,,
6561,0445120121,11,1000,1000,40,60,60,280,6.3,80.95,,,
6562,0445120121,13,1000,250,20,40,60,1000,14.7,35.37,,,
6563,0445120122,2,1000,1600,20,40,,0,37.5,100,,,
6564,0445120122,3,1000,350,20,40,60,2000,,,,,
6565,0445120122,4,1000,1600,20,40,60,2000,45,88.89,,,
6566,0445120122,6,1000,1600,20,40,60,2000,231.8,4.57,,,
6567,0445120122,7,1000,600,20,40,60,700,30.7,22.15,,,
6568,0445120122,11,1000,1000,40,60,60,280,5.9,86.44,,,
6569,0445120122,13,1000,250,20,40,60,1000,14.5,35.86,,,
6570,0445120123,2,1000,500,20,40,,0,33,100,,,
6571,0445120123,3,1000,350,20,40,60,2450,,,,,
6572,0445120123,4,1000,1600,20,40,60,1700,35.5,85.92,,,
