id,pump_code,test_name,vacuum,adjusting_time,measuring_time,motor_speed,target_pressure,min_direct_flow,max_direct_flow,min_back_flow,max_back_flow,regulator_current,pcv_current,calibration_min_i,calibration_max_i,calibration_i1,calibration_i2,calibration_i_offset,is_custom
54,3689041,10,TRUE,10,20,2700,0,,0.66,,,1.3,,,,,,,FALSE
55,3708363,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
56,3708363,2,TRUE,60,,2000,500,,,,,0,,,,,,,FALSE
57,3708363,3,TRUE,10,20,600,250,0.9,2.7,,,,,1.54,1.94,1.64,1.69,,FALSE
58,3708363,4,TRUE,10,20,2000,2000,24,49.2,,,,,,,,,-0.55,FALSE
59,3708363,5,TRUE,10,20,200,350,9.12,,,,0,,,,,,,FALSE
60,3708363,7,TRUE,10,20,2000,2000,101.4,,,,0,,,,,,,FALSE
61,3708363,10,TRUE,10,20,2700,0,,0.66,,,2.1,,,,,,,FALSE
62,3708364,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
63,3708364,2,TRUE,60,,2000,500,,,,,0,,,,,,,FALSE
64,3708364,3,TRUE,10,20,600,250,0.9,2.7,,,,,0.94,1.14,0.94,0.99,,FALSE
65,3708364,4,TRUE,10,20,2000,2000,19.2,50.4,,,,,,,,,-0.32,FALSE
66,3708364,5,TRUE,10,20,200,350,9.12,,,,0,,,,,,,FALSE
67,3708364,7,TRUE,10,20,2000,2000,101.4,,,,0,,,,,,,FALSE
68,3708364,10,TRUE,10,20,2700,0,,0.66,,,1.3,,,,,,,FALSE
69,5284018,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
70,5284018,2,TRUE,60,,2000,500,,,,,0,,,,,,,FALSE
71,5284018,3,TRUE,10,20,600,250,0.9,2.7,,,,,0.93,1.13,0.93,0.98,,FALSE
72,5284018,4,TRUE,10,20,2000,1800,18.6,46.2,,,,,,,,,-0.32,FALSE
73,5284018,5,TRUE,10,20,200,350,7.5,,,,0,,,,,,,FALSE
74,5284018,7,TRUE,10,20,2500,1800,105.72,,,,0,,,,,,,FALSE
75,5284018,10,TRUE,10,20,3500,0,,0.84,,,1.3,,,,,,,FALSE
76,21229831,1,FALSE,60,,500,0,,,,,0,,,,,,,FALSE
77,21229831,2,TRUE,60,,2000,500,,,,,0,,,,,,,FALSE
78,21229831,3,TRUE,10,20,600,250,1.8,3.6,,,,,1.57,1.97,1.67,1.72,,FALSE
